1,0
2,0
3,1
4,1
5,2
6,2
7,3
8,4
9,4
10,4
11,5
12,5
13,5
14,6
15,7
16,7
17,8
18,8
19,9
20,9
21,10
22,10
23,11
24,11
25,12
26,12
27,13
28,13
29,14
30,14
31,15
32,15
33,15
34,16
35,17
36,18
37,19
38,20
39,21
40,22
41,23
42,24
43,25
44,26
45,27
46,28
47,29
48,30
49,30
50,30
51,31
52,31
53,32
54,32
55,33
56,33
57,34
58,34
59,35
60,35
61,36
62,36
63,37
64,37
65,38
66,38
67,39
68,39
69,40
70,40
71,41
72,41
73,42
74,42
75,43
76,43
77,44
78,44
79,45
80,45
81,46
82,46
83,47
84,47
85,48
86,48
87,49
88,49
89,50
90,50
91,51
92,52
93,53
94,54
95,55
96,56
97,57
98,58
99,58
100,58
101,59
102,60
103,60
104,60
105,61
106,62
107,62
108,62
109,63
110,64
111,64
112,64
113,65
114,66
115,66
116,67
117,67
118,67
119,68
120,69
121,69
122,69
123,70
124,71
125,72
126,72
127,72
128,73
129,74
130,74
131,74
132,75
133,75
134,75
135,76
136,77
137,77
138,77
139,78
140,79
141,79
142,79
143,80
144,81
145,81
146,82
147,83
148,83
149,83
150,84
151,85
152,86
153,87
154,88
155,89
156,90
157,91
158,91
159,92
160,92
161,93
162,93
163,94
164,94
165,95
166,96
167,96
168,97
169,97
170,98
171,98
172,99
173,99
174,100
175,100
176,101
177,101
178,102
179,102
180,103
181,103
182,104
183,104
184,105
185,105
186,106
187,107
188,107
189,108
190,108
191,109
192,109
193,110
194,110
195,111
196,111
197,112
198,112
199,113
200,113
201,114
202,114
203,115
204,115
205,116
206,116
207,117
208,117
209,118
210,118
211,119
212,119
213,120
214,120
215,121
216,121
217,122
218,122
219,123
220,123
221,124
222,124
223,125
224,125
225,126
226,126
227,127
228,127
229,128
230,128
231,129
232,129
233,130
234,130
235,131
236,131
237,132
238,132
239,133
240,133
241,134
242,134
243,135
244,135
245,136
246,136
247,137
248,138
249,138
250,139
251,139
252,140
253,140
254,141
255,141
256,142
257,142
258,143
259,143
260,144
261,144
262,145
263,145
264,146
265,146
266,147
267,147
268,148
269,148
270,149
271,149
272,150
273,150
274,151
275,151
276,152
277,152
278,153
279,154
280,154
281,155
